	cls	score	score_best
alarm	-1	0.012207175285964718	0.012207175285964718
switch	5	0.012192644447091321	0.012192644447091321
switches	5	0.0009062742055857933	0.012192644447091321
switched	5	0.0002735790706334203	0.012192644447091321
swith	5	0.00017820084986785499	0.012192644447091321
switch4th	5	0.0001744704275157806	0.012192644447091321
loose	-1	0.011991185319365133	0.011991185319365133
pressure	-1	0.011928091260774407	0.011928091260774407
pump	-1	0.011572563469953905	0.011572563469953905
parts	-1	0.011500890829747302	0.011500890829747302
chip	-1	0.011284524856587944	0.011284524856587944
reset	-1	0.011047242527758199	0.011047242527758199
requested	-1	0.010959378479189093	0.010959378479189093
screw	-1	0.010951863863938715	0.010951863863938715
leaking	-1	0.010526656732191003	0.010526656732191003
cleaned	6	0.010497675650441579	0.010497675650441579
cleared	6	0.007958587588430693	0.010497675650441579
cleaning	6	0.003890157242270611	0.010497675650441579
